date,PMI,VIX_Open,VIX_High,VIX_Low,VIX_Close,SPX_Open,SPX_High,SPX_Low,SPX_Close
8/1/1990,46.1,21.64,36.47,20.43,29.9,356.15,357.35,306.18,322.56
9/1/1990,44.5,29.58,30.56,27.88,29.11,322.56,326.53,295.98,306.05
10/1/1990,43.2,28.06,33.98,27.27,30.04,306.1,319.69,294.51,304
11/1/1990,41.3,30.25,30.87,20.09,22.16,304,323.02,301.61,322.22
12/1/1990,40.8,22.29,26.38,20.94,26.38,322.23,333.98,321.97,330.22
1/1/1991,39.2,26.62,36.2,20.91,20.91,330.2,343.93,309.35,343.93
2/1/1991,39.4,21.04,23.6,19.57,21.23,343.91,370.96,340.37,367.07
3/1/1991,40.7,20.86,21.05,14.9,16.88,367.07,379.66,363.73,375.22
4/1/1991,42.8,17.42,20.12,15.47,18.24,375.22,391.26,370.27,375.35
5/1/1991,44.5,17.77,18.38,15.23,15.93,375.35,389.85,365.83,389.83
6/1/1991,50.3,16.87,19.55,15.5,19.55,389.75,389.75,367.98,371.16
7/1/1991,50.6,18.64,20.29,15.18,15.18,371.18,387.81,370.92,387.81
8/1/1991,52.9,15.47,21.19,14.41,14.46,387.81,396.82,374.09,395.43
9/1/1991,54.9,16.57,18.22,15.35,15.85,395.43,397.62,382.77,387.86
10/1/1991,53.1,14.81,18.58,14.81,15.48,387.86,393.81,376.11,392.46
11/1/1991,49.5,15.6,21.92,13.95,20.26,392.46,398.22,371.63,375.22
12/1/1991,46.8,20.18,20.57,15.44,19.31,375.11,418.32,371.36,417.09
1/1/1992,47.3,18.95,19.23,16.24,17.4,417.03,421.18,408.64,408.79
2/1/1992,52.7,18.2,18.79,16.35,16.68,408.79,418.08,406.34,412.7
3/1/1992,54.6,16.88,19.79,14.57,16.18,412.68,413.78,401.94,403.69
4/1/1992,52.6,16.48,20.15,14.85,15.53,403.67,416.28,392.41,414.95
5/1/1992,55.7,16.61,16.92,13.57,13.86,414.95,418.75,409.85,415.35
6/1/1992,53.6,14.43,18.2,13.21,13.35,415.35,417.3,399.92,408.14
7/1/1992,53.9,13.34,15.83,12.27,13.17,408.2,424.8,407.2,424.22
8/1/1992,53.4,13.83,15.88,13.14,13.58,424.19,425.14,408.3,414.03
9/1/1992,49.7,13.4,15.19,12.47,14.28,414.03,425.27,412.71,417.8
10/1/1992,50.3,16.31,20.51,15.47,16.15,417.8,421.16,396.8,418.68
11/1/1992,53.6,16.67,17.33,12.5,13.01,418.66,431.93,415.58,431.35
12/1/1992,54.2,12.8,12.8,11.51,12.57,431.35,442.65,428.61,435.71
1/1/1993,55.8,13.36,14.72,11.3,12.42,435.7,442.66,426.88,438.78
2/1/1993,55.2,12.33,15.9,12.12,13.16,438.79,450.04,428.25,443.38
3/1/1993,53.5,13.6,16.22,12.08,12.53,443.4,456.76,441.07,451.67
4/1/1993,50.2,13.02,15.25,10.96,12.42,451.67,452.63,432.3,440.19
5/1/1993,51.2,12.9,14.76,12.14,13.47,440.19,454.55,436.86,450.21
6/1/1993,49.6,13.67,14.74,11.11,11.26,450.19,455.63,442.5,450.53
7/1/1993,50.2,11.51,13.87,10.6,11.73,450.54,451.15,441.4,448.13
8/1/1993,50.7,11.47,12.39,11.47,11.85,448.14,463.56,446.94,463.56
9/1/1993,50.8,11.48,17.3,11.16,12.99,463.55,463.8,449.64,458.93
10/1/1993,53.4,11.83,13.14,10.87,11.46,458.93,471.1,456.4,467.83
11/1/1993,53.8,11.78,15.9,11.74,13.76,467.83,469.11,454.36,461.79
12/1/1993,55.6,13.83,13.83,9.31,11.66,461.93,471.29,461.45,466.45
1/1/1994,56,12.57,12.57,9.94,10.63,466.45,482.85,464.36,481.61
2/1/1994,56.5,10.65,16.34,10.61,14.87,481.6,482.23,464.26,467.14
3/1/1994,56.9,15.83,20.45,12.31,20.45,467.19,471.09,436.16,445.76
4/1/1994,57.4,23.87,23.87,13.77,13.77,445.66,452.79,435.86,450.91
5/1/1994,58.2,14.11,16.16,11.94,13.03,450.91,457.77,440.78,456.51
6/1/1994,58.8,12.72,16.72,11.22,14.97,456.5,463.23,439.83,444.27
7/1/1994,58.5,14.36,14.92,11.13,11.13,444.29,459.33,443.58,458.25
8/1/1994,58,11.17,12.83,11.09,11.97,458.27,477.59,456.08,475.5
9/1/1994,59,11.86,14.56,11.4,14.28,475.49,475.49,458.47,462.71
10/1/1994,59.4,15.44,16.97,13.55,14.56,462.77,474.74,449.27,472.35
11/1/1994,59.2,14.84,18.41,14.84,15.95,472.26,472.26,444.18,453.69
12/1/1994,56.1,16.69,17.23,11.82,13.2,453.55,462.73,442.88,461.17
1/1/1995,57.4,14.25,14.25,11.1,11.96,459.21,471.36,457.2,470.42
2/1/1995,55.1,11.73,12.51,10.84,11.75,470.42,489.19,469.29,487.39
